image_index,image_name,image_path,strategy,k,n_agents,n_iters,seed,woa_b,share_interval,fe_best,time_sec,thresholds,jitter_fe_original,jitter_fe_mean,jitter_fe_std,jitter_fe_min,jitter_fe_max,conv_fe_first,conv_fe_last,conv_fe_last_mean,conv_fe_last_std,conv_fe_improvement
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA1,10,30,100,42,1.0,3,0.046487177340757926,3.159053325653076,"7,8,11,16,27,28,43,250,251,254",0.046487177340757926,0.04566362786946807,0.00027768688046775727,0.044960831670422974,0.046487177340757926,0.04469626264312878,0.046487177340757926,0.046487177340757926,0.0,0.0017909146976291465
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA2,10,30,100,42,1.0,3,0.04631130714783076,2.703477144241333,"1,2,3,54,246,248,249,250,251,254",0.04631130714783076,0.04610581944740212,0.00012082239829908562,0.04585156243313034,0.04632205762670181,0.04469626264312878,0.04631130714783076,0.04631130714783076,0.0,0.0016150445047019776
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA3,10,30,100,42,1.0,3,0.04643714450326844,2.6963822841644287,"1,2,60,243,244,247,248,250,251,254",0.04643714450326844,0.046192880730607705,0.00011187767048034107,0.045942445170816595,0.04643714450326844,0.04469626264312878,0.04643714450326844,0.04637208275027681,7.270658872636453e-05,0.0017408818601396606
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA4,10,30,100,42,1.0,3,0.04640543405913038,2.927055597305298,"61,243,244,245,246,247,248,250,251,254",0.04640543405913038,0.04620210036855866,0.00013123126988150773,0.04584653259973023,0.04640543405913038,0.04469626264312878,0.04640543405913038,0.04635569062224605,0.00010446447779344425,0.0017091714160015967
0,101085.jpg,dataset/BDS500/images/val\101085.jpg,PA5,10,30,100,42,1.0,3,0.04662729842581408,6.042710781097412,"1,2,5,6,9,50,249,250,251,254",0.04662729842581408,0.04598145083010531,0.0003588845862494423,0.045059044285340126,0.04662729842581408,0.04579767953363589,0.04662729842581408,0.04662729842581408,0.0,0.0008296188921781897
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA1,10,30,100,42,1.0,3,0.0352166184380259,3.200801134109497,"1,2,4,9,14,19,30,71,234,246",0.0352166184380259,0.03513979252658408,3.942398016147483e-05,0.03508071715519408,0.0352166184380259,0.03467281068111283,0.0352166184380259,0.035216618438025905,6.938893903907228e-18,0.0005438077569130673
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA2,10,30,100,42,1.0,3,0.03538572313469361,3.0082380771636963,"1,11,100,187,200,235,243,250,251,254",0.03538572313469361,0.03457545181389567,0.0004348071193187773,0.033729925806674735,0.03538572313469361,0.03473994714866381,0.03538572313469361,0.03538572313469361,0.0,0.0006457759860298007
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA3,10,30,100,42,1.0,3,0.035235430040572044,2.8055362701416016,"7,20,112,155,160,188,209,240,251,252",0.035235430040572044,0.034355063789069065,0.0005322597469504219,0.03340608863617295,0.035235430040572044,0.03467281068111283,0.035235430040572044,0.035203458877022586,1.662107216039408e-05,0.0005626193594592127
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA4,10,30,100,42,1.0,3,0.03544258021827819,2.837597131729126,"17,25,175,231,234,237,239,250,251,254",0.03544258021827819,0.03467685914863855,0.00043823781481494,0.03378215073926111,0.03544258021827819,0.03473994714866381,0.03544258021827819,0.03538566448661671,5.692202848707415e-05,0.0007026330696143779
1,101087.jpg,dataset/BDS500/images/val\101087.jpg,PA5,10,30,100,42,1.0,3,0.03536750198679704,5.592289686203003,"1,2,5,12,17,22,173,250,251,254",0.03536750198679704,0.03459791726742657,0.000439505509872847,0.033681669980964044,0.03536750198679704,0.03467281068111283,0.03536750198679704,0.03536750198679704,0.0,0.0006946913056842113
